X_IMAGE,Y_IMAGE,Label
2472.9644,73.5215,1
8280.7168,83.4593,0
1305.0167,86.2875,1
4972.0415,85.6972,1
8659.3574,56.8992,1
827.9285,47.425,1
1383.7422,53.7311,1
3550.9106,62.7282,1
9039.6973,52.9961,1
5320.1699,77.131,1
7930.0986,77.029,0
7557.5723,82.1851,0
7890.9878,82.0218,0
4207.9697,72.7901,1
3721.1289,68.4389,1
3710.6953,62.0575,1
8618.3555,62.6406,1
3658.1375,75.3757,1
3671.5964,68.366,1
2651.0981,70.4606,1
1654.9066,77.839,1
5654.1099,75.3553,1
2477.0696,80.3236,1
2482.7358,82.748,1
5723.9399,82.9664,1
7435.0068,83.068,1
5655.48,88.0147,1
8708.6768,47.6169,1
7201.1567,64.5046,1
9146.2051,34.6851,1
5908.0293,72.132,1
3970.3843,75.0841,1
6596.4883,78.9321,1
7519.6636,78.8419,0
1189.0048,81.2403,1
5842.0269,83.6978,1
2335.6335,86.6161,1
977.1669,88.8425,1
6823.8594,73.7626,1
3633.4709,76.1189,1
3569.4424,78.6406,1
8476.1133,45.5271,1
3970.9646,43.2635,1
7544.7563,44.286,0
4123.042,69.8705,1
6413.3203,68.578,1
8017.8159,69.6911,1
4076.6042,75.0837,1
7585.7935,70.3853,1
2642.2944,79.8197,1
814.0107,82.5131,1
5423.1191,85.1759,1
4946.9922,90.2684,1
4199.897,69.2221,1
501.0323,46.6658,1
2649.2126,55.9795,1
5209.7891,59.0875,1
3533.3269,31.4641,1
819.8683,75.3935,1
7945.6284,64.6909,1
6869.4375,81.0117,1
1661.7764,83.6473,1
2457.3645,88.6084,1
2131.0398,91.0025,1
8701.9141,27.7409,1
6511.9819,62.1447,1
7368.3418,35.606,1
560.2396,7.0867,1
3563.8784,64.1352,1
7930.4434,39.1734,1
7602.6885,31.7752,1
2466.3999,81.6831,1
4525.9141,84.4065,1
8666.1963,62.5139,1
8647.8516,42.1056,1
6645.3413,86.8991,1
8907.6436,35.8592,1
8532.4199,30.8872,1
3962.7144,57.7211,1
2148.9812,78.0251,1
2881.3923,83.0012,1
7409.1821,87.8335,1
9166.001,62.1947,1
9012.0352,21.2756,1
283.3471,81.5119,1
5292.9678,81.7435,1
3767.2097,84.0432,1
4302.2612,91.2096,1
3705.6724,76.5075,1
5383.2886,72.3602,1
3715.6868,39.014,1
593.8926,21.8441,0
7921.9429,64.8143,1
5854.7432,71.8126,1
1672.2906,72.3844,1
9060.1123,44.1524,1
9062.5986,70.6327,1
7638.9985,27.1344,1
7368.7759,75.473,1
5182.2827,87.1299,1
4375.124,89.8808,1
8721.8691,90.1598,1
2375.9658,92.4779,1
2870.7451,92.5176,1
3524.0776,82.6529,1
154.7402,65.417,1
7605.5879,76.1042,1
6598.4307,88.3162,1
5753.0967,67.7291,0
1859.4789,91.2638,1
4537.3296,83.3266,1
5356.7456,81.2474,1
9182.0264,41.159,1
9088.374,71.0932,1
7356.1035,71.639,1
5393.3057,24.2382,1
8479.3477,67.5722,1
4253.0576,82.3354,1
4592.5,87.189,1
586.0192,44.8998,1
5398.5981,70.9364,1
8983.5342,55.896,1
3499.8586,66.3573,1
9026.042,64.6528,1
7593.626,55.2211,1
1910.4685,90.9176,1
7549.1895,72.0336,0
4358.5161,88.2139,1
5275.0312,90.663,1
822.5286,95.6649,1
3262.5391,95.1415,1
7905.2241,80.0055,1
3781.2241,55.3071,1
7194.2144,81.3269,1
7213.9697,44.3893,1
5465.6538,38.1676,1
2987.085,86.4674,1
815.3924,91.8536,1
5705.4995,94.0023,1
827.4436,91.7242,1
3309.3884,98.7692,1
3213.4597,88.918,1
9172.3105,43.626,1
3567.5627,50.3305,1
7564.4814,65.5802,1
7619.418,44.3443,1
87.0669,75.5727,0
3659.9429,50.73,1
7967.8042,75.4902,1
1249.8049,83.2651,1
8025.6001,82.9915,1
6826.5083,87.531,1
5529.5884,89.5339,1
7911.3623,88.4998,1
8638.1064,72.5892,1
8661.6221,80.0238,1
1492.3811,87.7975,1
9150.6182,56.4922,1
9212.5098,33.8569,1
79.3811,56.9893,1
3537.2961,66.1615,1
7603.1069,53.686,1
7959.3403,80.1454,1
3586.384,85.8522,1
5918.0063,88.789,1
2606.1748,93.5259,1
7197.6133,71.2387,1
9191.334,19.4858,1
8482.9951,15.7597,0
6420.3804,76.7007,1
3602.0276,82.1638,1
8644.3135,60.7752,1
1674.9752,60.071,1
9059.9658,59.126,1
5421.1118,73.6296,1
6308.2925,87.7935,1
1868.4818,90.5092,1
4542.9009,90.5232,1
8646.2773,78.2569,1
9131.6006,81.7484,1
8974.4814,27.7688,1
7577.2275,68.808,1
7980.5293,80.1934,1
2975.3831,88.8333,1
7228.584,89.024,1
3621.2622,91.2563,1
7889.5889,91.4906,1
3516.6128,79.7138,1
1342.0145,97.7454,0
8974.1582,54.4152,1
1887.1531,31.8128,1
2238.6389,75.6663,1
6645.0898,93.5506,1
1016.7051,85.2812,1
4865.8262,98.1912,1
3796.9841,68.4475,1
8684.9775,100.9973,1
8002.3945,103.3594,1
3559.9919,83.3417,1
7535.8809,82.3516,0
8536.7988,84.3009,1
5735.1509,91.8819,1
365.4119,94.692,1
1015.4227,94.8802,1
1596.0823,94.5549,1
7973.6406,94.3919,1
1066.7899,96.8153,1
5831.9785,99.4796,1
7317.7515,40.2925,1
3529.9053,53.8406,1
5539.647,95.469,1
1524.9258,76.3247,1
1762.6163,102.9563,1
2887.5129,93.5785,1
4126.8872,102.9419,1
2626.0583,98.4675,1
6490.0034,85.1015,1
545.1212,102.9414,1
551.9338,97.8549,1
7530.3398,93.2046,0
7567.9585,42.9956,1
7950.1777,45.6934,1
8698.9805,68.2166,1
8017.2119,94.1665,1
7897.6143,94.2069,1
3784.8306,68.1555,1
4334.3901,98.6601,1
3255.4961,101.5331,1
3226.3442,91.2086,1
3776.2271,101.0057,1
7513.4922,99.7344,0
8938.2568,85.408,1
7529.1484,56.5971,0
3679.075,75.3437,1
8628.1465,16.108,1
1213.3287,97.9239,1
7904.0317,97.7141,1
3706.8462,87.3091,1
6732.3281,100.2632,1
2873.8152,102.1996,1
3232.5896,102.5538,1
3262.0518,102.5939,1
2623.7419,89.8118,1
7200.4644,89.4155,1
667.0549,91.9578,1
9092.8232,57.8796,1
